TF	Total genes	Activados	Reprimidos	Tipo de efecto regulatorio	Lista de genes
ATP-dependent RNA helicase DeaD	3	3	0	Activador	mntR, sdiA, uvrY
AaeR	3	3	0	Activador	aaeA, aaeB, aaeX
AccB	2	0	2	Represor	accB, accC
AcnB	1	1	0	Activador	acnB
AcrR	15	0	15	Represor	acrA, acrB, acrR, flhC, flhD, marA, marB, marR, mdtI, mdtJ, mdtU, micF, puuA, soxR, soxS
Ada	4	4	2	Dual	ada, aidB, alkA, alkB
AdiY	8	8	0	Activador	adiA, gadA, gadB, gadC, gadX, gltB, gltD, gltF
AgaR	11	0	11	Represor	agaA, agaB, agaC, agaD, agaI, agaR, agaS, agaV, agaW, kbaY, kbaZ
AgrB	1	0	1	Represor	dinQ
AidB	1	0	1	Represor	aidB
AlaS	1	0	1	Represor	alaS
AllR	9	0	9	Represor	allA, allB, allS, allW, gcl, glxK, glxR, hyi, ybbY
AllS	3	3	0	Activador	allC, allD, allE
AlpA	3	1	2	Dual	intA, phoB, phoR
AlsR	6	0	6	Represor	alsA, alsB, alsC, alsE, alsR, rpiB
AmeF	2	2	0	Activador	mazE, mazF
AppY	10	10	0	Activador	appA, appB, appC, appX, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF
AraC	19	10	13	Dual	araA, araB, araC, araD, araE, araF, araG, araH, araJ, xylA, xylB, xylZ, ydeM, ydeN, ygeA, yjfF, ytfQ, ytfR, ytfT
ArcA	238	84	166	Dual	aceA, aceB, aceE, aceF, aceK, ackA, acnA, acnB, acpP, aldA, appA, appB, appC, appX, appY, arcA, arcZ, argR, argT, b0725, betA, betB, betI, betT, cadA, cadB, caiA, caiB, caiC, caiD, caiE, caiT, carA, citC, citD, citE, citF, citG, citX, cycA, cydA, cydB, cydC, cydD, cyoA, cyoB, cyoC, cyoD, cyoE, dctA, dcuA, dcuB, dcuC, dpiA, dpiB, dppA, dsbB, fadA, fadB, fadD, fadE, fadH, fadI, fadJ, fadL, feoA, fnr, focA, folE, fumA, fumB, fumC, gadA, gadE, gadF, gadX, gatA, gatB, gatC, gatD, gatY, gatZ, gcvB, glaH, glcA, glcB, glcC, glcD, glcE, glcF, glcG, glpA, glpB, glpC, glpD, glpE, gltA, grcA, hemA, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF, hybA, hybB, hybC, hybD, hybE, hybF, hybG, hybO, icd, igaA, iraM, kdpA, kgtP, lldD, lldP, lldR, lpd, manA, mdh, micF, moeA, moeB, mqo, msrB, ndh, ndk, nudE, nuoA, nuoB, nuoC, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN, nupC, ompW, oppA, oppB, oppC, oppD, oppF, osmY, pepN, pflB, phoH, pldA, pncB, pntA, potF, pqqU, prfA, prmC, ptsG, putA, putP, puuA, puuB, puuC, puuD, puuE, puuP, puuR, pyrS, rhaT, rho, rmf, rplB, rplC, rplD, rplP, rplV, rplW, rpmC, rpoS, rpsC, rpsJ, rpsQ, rpsS, rsd, rstA, rutA, rutB, rutC, rutD, rutE, rutF, rutG, sdhA, sdhB, sdhC, sdhD, sdhX, sodA, sroD, ssb, sstT, sthA, sucA, sucB, sucC, sucD, thiC, thrA, tpx, treB, treC, ubiA, ubiC, uvrA, xthA, xylR, ybdN, ybfA, ybiU, ydeA, ydgC, yeiQ, yejG, yfiF, yhgE, yhjE, yieE, yigI, yjiR, ymjE, ynaJ, yncE
ArcZ	6	1	5	Dual	eptB, flhC, flhD, lrhA, mutS, rpoS
ArgP	15	14	1	Dual	argO, argP, asd, dapB, dapD, dnaA, dnaN, gdhA, lysA, lysC, lysP, nrdA, nrdB, recF, yfaE
ArgR	64	13	51	Dual	argA, argB, argC, argD, argE, argF, argG, argH, argI, argR, aroK, aroP, artI, artJ, artM, artP, artQ, astA, astB, astC, astD, astE, carA, carB, cvpA, dacC, dps, eutS, ftsZ, gltB, gltD, gltF, gltP, hchA, hisJ, hisL, hisM, hisP, hisQ, infB, lrp, lysO, mcaS, metY, mukE, nusA, pfkB, pnp, potF, puuB, pyrL, rbfA, rimP, rpsO, stpA, truB, waaA, yaaU, ydgI, yfcC, yffB, yhcC, ykgA, yraQ
ArrS	3	3	0	Activador	cfa, gadE, gadF
ArsR	3	0	3	Represor	arsB, arsC, arsR
AscG	5	0	5	Represor	ascB, ascF, htpG, prpR, ybiT
AsflhD	1	0	1	Represor	flhD
AsnC	4	1	3	Dual	asnA, asnC, mioC, mnmG
AtoC	4	4	0	Activador	atoA, atoB, atoD, atoE
AzuR	2	0	2	Represor	cadA, galE
BaeR	9	9	0	Activador	acrD, baeR, baeS, mdtA, mdtB, mdtC, mdtD, spy, ycaC
BasR	26	24	2	Dual	arnA, arnB, arnC, arnD, arnE, arnF, arnT, csgD, csgE, csgF, csgG, cspI, dgkA, emrD, eptA, fimB, glpA, glpB, glpC, hha, putA, qseB, qseC, tomB, waaH, yrbL
BetI	4	0	4	Represor	betA, betB, betI, betT
BirA	5	0	5	Represor	bioA, bioB, bioC, bioD, bioF
BluR	4	0	4	Represor	ariR, ycgZ, ymgA, ymgC
BolA	11	8	5	Dual	ampC, csgA, csgD, csgE, csgF, csgG, dacC, fimH, mreB, mreC, mreD
BtsR	15	1	14	Dual	aceE, aceF, btsT, csgA, csgB, csgC, csgD, csgE, csgF, csgG, cspC, lpd, mdh, pdhR, yobF
C0293	3	0	3	Represor	fadR, hcaR, iroK
CRP	587	495	141	Dual	aaeA, aaeB, aaeR, aaeX, abgR, aceA, aceB, aceE, aceF, aceK, acnA, acnB, acs, actP, aegA, aer, agaA, agaV, agaW, agp, aldA, aldB, ampD, ampE, ansB, aphA, araA, araB, araC, araD, araE, araF, araG, araH, araJ, arfB, argG, aroA, ascB, ascF, aspA, aspX, azuC, azuR, b0725, bglB, bglF, bglG, bhsA, bidA, btsT, caiA, caiB, caiC, caiD, caiE, caiF, caiT, cas1, cas2, cas3, casA, casB, casC, casD, casE, cdd, chbA, chbB, chbC, chbF, chbG, chbR, chiP, chiQ, chiZ, cirA, citC, citD, citE, citF, citG, citX, comR, cpdB, crp, crr, csgD, csgE, csgF, csgG, csiE, cspD, cspE, csqR, csrC, cstA, cyaA, cyaR, cycA, cyoA, cyoB, cyoC, cyoD, cyoE, cysG, cytR, dadA, dadX, dctA, dcuA, dcuB, dcuR, deoA, deoB, deoC, deoD, dgoA, dgoD, dgoK, dgoR, dgoT, dksA, dpiA, dpiB, dsdA, dsdX, dusB, ebgA, ebgC, efpL, elfA, entA, entB, entC, entD, entE, entF, entH, envZ, epd, exuR, exuT, fadD, fadH, fadL, fbaA, feaB, feaR, fecA, fecB, fecC, fecD, fecE, fepA, fis, fiu, fixA, fixB, fixC, fixX, flhC, flhD, focA, focB, frlA, frlB, frlC, frlD, frlR, fucA, fucI, fucK, fucO, fucP, fucR, fucU, fumA, fumB, fumC, fur, gabD, gabP, gabT, gadA, gadB, gadC, gadE, gadF, gadX, galE, galK, galM, galP, galS, galT, gapA, gatA, gatB, gatC, gatD, gatY, gatZ, gcd, gcvH, gcvP, gcvT, gdhA, glaH, glcC, glgA, glgC, glgP, glgS, glnA, glnG, glnL, glnZ, glpA, glpB, glpC, glpD, glpE, glpF, glpG, glpK, glpQ, glpR, glpT, glpX, gltA, gltB, gltD, gltF, gntK, gntP, gntT, gntU, gpsA, grcA, grpE, guaA, guaB, gutM, gutQ, gyrA, hflC, hflK, hflX, hfq, hicA, hicB, hlyE, hofB, hofC, hofM, hofN, hofO, hofP, hpt, htpG, hupA, hupB, hyfA, hyfB, hyfC, hyfD, hyfE, hyfF, hyfG, hyfH, hyfI, hyfJ, hyfR, idnD, idnK, idnO, idnR, idnT, ilvB, ilvN, infB, ivbL, kbaZ, lacA, lacI, lacY, lacZ, lamB, ldtB, lgoD, lgoR, lhgD, lpd, lsrA, lsrB, lsrC, lsrD, lsrF, lsrG, lsrK, lsrR, lyxK, malE, malF, malG, malH, malI, malK, malM, malS, malT, malX, malY, manA, manX, manY, manZ, marA, marB, marR, mazE, mazF, mcaS, mdh, mdtE, mdtF, melA, melB, melR, metK, metY, mglA, mglB, mglC, mhpA, mhpB, mhpC, mhpD, mhpE, mhpF, mhpR, mlc, modA, modB, modC, mokB, mpl, mtlA, mtlD, mtlR, murP, murQ, nadC, nagA, nagB, nagC, nagE, nanA, nanC, nanE, nanK, nanM, nanQ, nanS, nanT, narQ, nfuA, nirB, nirC, nirD, nlpE, nmpC, nrdA, nrdB, nupC, nupG, nusA, ompA, ompF, ompR, ompW, ortT, osmY, oxyR, paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK, paaZ, patZ, pck, pdhR, pflB, pgk, plaR, pncB, pnp, ppdD, ppiA, preA, preT, priB, proP, prpB, prpC, prpD, prpE, prpR, psiE, psuG, psuK, ptsG, ptsH, ptsI, purH, putP, puuB, puuC, puuD, puuE, puuR, raiA, raiZ, rbfA, rbsA, rbsB, rbsC, rbsD, rbsK, rbsR, rbsZ, relA, rhaA, rhaB, rhaD, rhaR, rhaS, rhaT, rihA, rimP, rmf, rof, rplI, rplM, rpoE, rpoH, rpoS, rpsF, rpsI, rpsO, rpsR, rseA, rseB, rseC, rseD, rspA, rspB, sbmC, sdhA, sdhB, sdhC, sdhD, sdhX, secB, serA, serC, sfmA, sfsA, sgbE, sgbH, sgbU, sgcA, sgcB, sgcC, sgcE, sgcQ, sgcR, sgcX, sodA, sodB, sohB, speC, spf, spfP, srlA, srlB, srlD, srlE, srlR, sroD, sucA, sucB, sucC, sucD, tam, tdcA, tdcB, tdcC, tdcD, tdcE, tdcF, tdcG, tnaA, tnaB, tnaC, treB, treC, trg, truB, trxA, tsx, ubiG, udp, ugpA, ugpB, ugpC, ugpE, ugpQ, uhpT, uhpU, uidA, uidB, uidC, ulaA, ulaB, ulaC, ulaD, ulaE, ulaF, umpH, uxaA, uxaB, uxaC, uxuA, uxuB, uxuR, xseA, xylA, xylB, xylE, xylF, xylG, xylH, xylR, xylZ, yaeP, yaeQ, yahN, ybgD, ybiT, ycdZ, ychH, yehA, yehB, yehC, yehD, yeiW, yfaE, yfcV, ygcW, ygeA, ygeW, yhfA, yhgH, yiaK, yiaL, yiaM, yiaN, yiaO, yjcH, yjhG, yjhH, yjhI, ykgR, yqeF, yraH, ytfK, zraR, zraS
CRP-Sxy	1	1	0	Activador	sxy
CadC	3	3	0	Activador	cadA, cadB, cadC
CaiF	10	10	0	Activador	caiA, caiB, caiC, caiD, caiE, caiT, fixA, fixB, fixC, fixX
Cbl	9	9	0	Activador	ssuA, ssuB, ssuC, ssuD, ssuE, tauA, tauB, tauC, tauD
CdaR	10	10	0	Activador	cdaR, garD, garK, garL, garP, garR, gudD, gudP, gudX, rnpB
CecR	6	1	5	Dual	cecR, rhlE, ybhF, ybhG, ybhR, ybhS
ChbR	6	6	6	Dual	chbA, chbB, chbC, chbF, chbG, chbR
ChiX	6	0	6	Represor	chbC, chiP, chiQ, chiZ, dpiA, dpiB
CitR	3	0	3	Represor	citR, ybdM, ybdN
ComR	1	0	1	Represor	bhsA
CpxQ	3	0	3	Represor	cfa, cpxP, skp
CpxR	130	77	53	Dual	acrD, acs, ampH, appC, aroG, ascF, astC, atpB, atpI, bacA, baeR, baeS, bamE, btsT, carA, carB, casA, cbl, chaA, chaB, cheA, cheW, cpxA, cpxP, cpxQ, cpxR, csgA, csgB, csgC, csgD, csgE, csgF, csgG, cspA, cyaR, degP, dgcZ, dgt, dsbA, dsbC, dsbG, eamA, edd, efeU, epmB, ettA, exbB, fabZ, fadE, fadI, fdnG, feaR, fimB, focA, frc, frmB, ftnB, galP, gapC, glsA, gmhA, gpmM, gstA, hcp, hha, inaA, kbp, ldtC, ldtD, lpxA, lpxD, marA, marB, marR, matA, mdtA, mdtB, mdtC, mdtD, metC, motA, motB, motR, mscM, mtn, mzrA, nuoA, ompC, ompF, pdeB, pflB, plsB, ppiA, ppiD, psd, qmcA, rpoE, rpoH, rprA, rseA, rseB, rseC, rseD, sbmA, sdhC, shoB, skp, slt, spy, srkA, tomB, tsr, ung, xylE, yacH, yaiW, yccA, yddG, ydeE, yebE, yfaH, ygjR, yhdJ, yhdW, yibN, yidQ, yjfN, yncE, yqaE, yqjA
Cra	133	73	84	Dual	aceA, aceB, aceE, aceF, aceK, acnA, acnB, adhE, aroP, betA, betB, betI, betT, crp, crr, csgD, csgE, csgF, csgG, cydA, cydB, cyoA, cyoB, cyoC, cyoD, cyoE, cysG, eda, edd, eno, envC, epd, fbaA, fbaB, fbp, fruA, fruB, fruK, fumD, gapA, glcC, glk, gpmM, hisA, hisB, hisC, hisD, hisF, hisG, hisH, hisI, hypF, icd, lpd, manX, manY, manZ, marA, marB, marR, mdtA, metE, mpl, msrB, mtlA, mtlD, mtlR, nikA, nikB, nikC, nikD, nikE, nikR, nirB, nirC, nirD, nrdE, nrdF, nrdH, nrdI, nuoA, nuoB, nuoC, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN, pck, pdeL, pdhR, pfkA, pgk, php, poxB, ppc, ppsA, ppsR, prpB, prpC, prpD, prpE, ptsH, ptsI, pykF, raiA, setA, sgrS, sgrT, ssuA, ssuB, ssuC, ssuD, ssuE, tmaR, tpiA, treB, treC, ychE, yeaC, yeaD, yhfS, yhfT, yhfU, yhfW, yhfX, yibQ, zwf
CreB	16	12	4	Dual	ackA, cbrA, cbrB, cpdA, creD, malE, malF, malG, malH, nudF, parE, pta, recG, talA, yqiA, yqiB
CsgD	28	13	15	Dual	csgA, csgB, csgC, csgD, csgE, csgF, csgG, csgI, dgcC, flgM, flgN, fliA, fliE, fliF, fliG, fliH, fliI, fliJ, fliK, fliZ, iraP, nlpA, pepD, tcyJ, ubiT, wrbA, yccJ, yhbS
CspA	2	2	0	Activador	gyrA, hns
CsqR	5	0	5	Represor	csqR, yihS, yihT, yihU, yihV
CsrA	16	6	10	Dual	gadA, gadB, gadC, gadE, idlP, iraD, moaA, moaB, moaC, moaD, moaE, rpoE, ydeO, ymdA, ytiC, ytiD
CueR	9	2	7	Dual	copA, cueO, moaA, moaB, moaC, moaD, moaE, rmf, rsd
CusR	14	14	0	Activador	cusA, cusB, cusC, cusF, cusR, cusS, cyoA, cyoB, cyoC, cyoD, cyoE, hiuH, msrP, msrQ
CyaR	9	0	9	Represor	hdeD, luxS, nadE, ompX, rpoS, yacL, yliM, yobF, yqaE
CynR	4	3	1	Dual	cynR, cynS, cynT, cynX
CysB	33	26	7	Dual	ariR, cbl, cysA, cysB, cysC, cysD, cysH, cysI, cysJ, cysK, cysM, cysN, cysP, cysU, cysW, dgcZ, hslJ, ssuA, ssuB, ssuC, ssuD, ssuE, tauA, tauB, tauC, tauD, tcyJ, tcyP, ybdN, yciW, yfbR, ygeH, yoaC
CytR	14	0	14	Represor	aphA, cdd, cytR, deoA, deoB, deoC, deoD, nupC, nupG, ppiA, rpoH, tsx, udp, ycdZ
Dan	4	4	0	Activador	ttdA, ttdB, ttdR, ttdT
DcuR	13	13	0	Activador	aspA, aspX, dctA, dcuA, dcuB, dpiA, dpiB, frdA, frdB, frdC, frdD, fumB, pck
DeaD	1	1	0	Activador	ldtD
DecR	2	2	0	Activador	cyuA, cyuP
DeoR	6	0	6	Represor	deoA, deoB, deoC, deoD, nupG, tsx
DgoR	5	0	5	Represor	dgoA, dgoD, dgoK, dgoR, dgoT
DhaR	4	3	1	Dual	dhaK, dhaL, dhaM, dhaR
DicA	9	1	8	Dual	dicA, dicB, dicC, insD7, intQ, ydfD, ydfE, ydfW, ydfX
DicD	3	0	3	Represor	dicA, dicB, dicC
DicF	4	0	4	Represor	ftsZ, manX, pykA, xylR
DinJ-YafQ	3	0	3	Represor	cspE, dinJ, yafQ
DksA	162	45	121	Dual	alaT, alaU, alaV, argI, argX, csrA, csrB, csrC, dksA, dnaG, dsrA, dusB, fabD, fabG, fabH, fadR, fimB, fis, flu, folK, fusA, gltT, gltU, gltV, gltW, gluQ, hisA, hisB, hisC, hisD, hisF, hisG, hisH, hisI, hisL, hisR, hlyE, hmp, idlP, ihfA, ihfB, ileT, ileU, ileV, infC, iraD, iraP, isrC, leuT, livJ, mutM, obgE, pcnB, pheM, pheS, pheT, proM, recG, rimM, rplA, rplB, rplC, rplD, rplE, rplF, rplJ, rplK, rplL, rplM, rplN, rplO, rplP, rplQ, rplR, rplS, rplT, rplU, rplV, rplW, rplX, rplY, rpmA, rpmB, rpmC, rpmD, rpmG, rpmI, rpmJ, rpoA, rpoB, rpoC, rpoD, rpoE, rpoS, rpoZ, rpsA, rpsC, rpsD, rpsE, rpsG, rpsH, rpsI, rpsJ, rpsK, rpsL, rpsM, rpsN, rpsP, rpsQ, rpsS, rpsT, rpsU, rrfA, rrfB, rrfC, rrfD, rrfE, rrfF, rrfG, rrfH, rrlA, rrlB, rrlC, rrlD, rrlE, rrlG, rrlH, rrsA, rrsB, rrsC, rrsD, rrsE, rrsG, rrsH, rseA, rseB, rseC, rybB, secY, setA, sgrR, sgrS, sgrT, spoT, sroA, talA, thiB, thiP, thiQ, thrA, thrB, thrC, thrL, thrS, thrV, tktB, trmD, trmH, tufA, yhbE, ytiC, ytiD
DnaA	18	7	17	Dual	aldA, dnaA, dnaN, guaA, guaB, idlP, iraD, nrdA, nrdB, polA, recF, recN, rpoH, uvrB, yfaE, yjeV, ytiC, ytiD
DpiA	11	10	1	Dual	appY, citC, citD, citE, citF, citG, citX, dpiA, dpiB, exuT, mdh
DsdC	1	1	0	Activador	dsdA
DsrA	10	1	9	Dual	hns, lrp, rbsA, rbsB, rbsC, rbsD, rbsK, rbsR, rbsZ, rpoS
EbgR	2	0	2	Represor	ebgA, ebgC
EnvR	2	0	2	Represor	acrA, acrB
EnvY	2	2	0	Activador	ompC, ompF
EvgA	21	21	0	Activador	G7121, acrD, emrK, emrY, evgA, evgL, evgS, frc, gadE, gadF, mdtE, mdtF, oxc, safA, ydeO, ydeP, yegR, yegZ, yfdE, yfdV, yfdX
ExuR	10	0	10	Represor	exuR, exuT, lgoD, lgoR, uxaA, uxaB, uxaC, uxuA, uxuB, uxuR
FNR	327	221	123	Dual	aceE, aceF, ackA, acnA, acrE, acrF, adhE, aer, aldA, amtB, ansB, arcA, argK, aroP, aspA, aspC, aspX, b0725, bcsB, bcsZ, bidA, cadC, caiA, caiB, caiC, caiD, caiE, caiF, caiT, ccmA, ccmB, ccmC, ccmD, ccmE, ccmF, ccmG, ccmH, ccp, cheB, cheR, cheY, cheZ, citC, citD, citE, citF, citG, citX, cydA, cydB, cydC, cydD, cyoA, cyoB, cyoC, cyoD, cyoE, cysG, dcuA, dcuB, dcuC, dcuR, dcuS, dmsA, dmsB, dmsC, dmsD, dpiA, dpiB, dppA, dppB, dppC, dppD, dppF, emrK, emrY, entF, fdhF, fdnG, fdnH, fdnI, feoA, feoB, feoC, fepE, fes, fhlA, fixA, fixB, fixC, fixX, fnr, fnrS, focA, focB, frdA, frdB, frdC, frdD, fumA, fumB, fumC, gadA, gadW, gadX, gapC, garD, garK, garL, garP, garR, gcvH, gcvP, gcvT, gdhA, glnD, glnK, glpA, glpB, glpC, glpQ, glpT, gltB, gltD, gltF, gnd, gndA, grcA, hcp, hcr, hemA, hlyE, hmp, hyfA, hyfB, hyfC, hyfD, hyfE, hyfF, hyfG, hyfH, hyfI, hyfJ, hyfR, hypB, hypC, hypD, hypE, idlP, iraD, iraM, katG, lpd, malP, malQ, metV, mltA, moaA, moaB, moaC, moaD, moaE, moeA, moeB, msrB, nac, napA, napB, napC, napD, napF, napG, napH, narG, narH, narI, narJ, narK, narL, narS, narX, ndh, nfeR, nikA, nikB, nikC, nikD, nikE, nikR, nirB, nirC, nirD, norV, norW, nrdD, nrdG, nrfA, nrfB, nrfC, nrfD, nrfE, nrfF, nrfG, nuoA, nuoB, nuoC, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN, ompW, ompX, ortT, pdeF, pdhR, pepT, pflB, pheM, phoU, pitA, poxB, prfA, prmC, pstA, pstB, pstC, pstS, purM, purN, puuA, puuP, pykA, ravA, rimM, rnpB, rplB, rplC, rplD, rplM, rplP, rplS, rplT, rplV, rplW, rpmC, rpsC, rpsI, rpsJ, rpsP, rpsQ, rpsS, scpA, scpB, scpC, sdhA, sdhB, sdhC, sdhD, sdhX, sodA, soxR, soxS, ssuA, ssuB, ssuC, ssuD, ssuE, sucA, sucB, sucC, sucD, tap, tar, tdcA, tdcB, tdcC, tdcD, tdcE, tdcF, tdcG, thrA, tpx, trmD, ubiA, ubiC, ung, upp, uraA, uxaA, uxaC, viaA, xdhA, xdhB, xdhC, ybdN, ybdZ, ycaC, ychO, ydeJ, ydfO, ydfZ, ydhT, ydhU, ydhV, ydhW, ydhX, ydhY, yecR, yeiL, yfcZ, yffS, ygbA, yibN, ymjE, ynfE, ynfF, ynfG, ynfH, ysgA, ytfE, zwf
FabR	2	0	2	Represor	fabA, fabB
FadR	23	12	11	Dual	accA, accB, accC, accD, fabA, fabB, fabD, fabG, fabH, fabI, fadA, fadB, fadD, fadE, fadH, fadI, fadJ, fadL, fadM, fadR, iclR, sroD, uspA
FeaR	2	2	0	Activador	feaB, tynA
FhlA	30	30	0	Activador	fdhF, fhlA, focB, hycA, hycB, hycC, hycD, hycE, hycF, hycG, hycH, hycI, hydN, hyfA, hyfB, hyfC, hyfD, hyfE, hyfF, hyfG, hyfH, hyfI, hyfJ, hyfR, hypA, hypB, hypC, hypD, hypE, hypF
FimR2	5	1	4	Dual	fliG, fliI, fliJ, fliR, hofQ
FimZ	5	5	0	Activador	puuB, puuC, puuD, sfmA, sfmC
