TF	Total genes	Activados	Reprimidos	Tipo de efecto regulatorio	Lista de genes
Fis	248	163	91	Dual	acnB, acs, actP, adhE, alaT, alaU, alaV, alaW, alaX, aldB, ansB, apaG, apaH, argU, argW, argX, aspV, bglB, bglF, bglG, carA, carB, cbpA, cbpM, crp, cspA, cspI, cyoA, cyoB, cyoC, cyoD, cyoE, cysG, deoA, deoB, deoC, deoD, dmsA, dmsB, dmsC, dnaA, dnaN, dps, dusB, fadA, fadB, fau, fimA, fimC, fimD, fimF, fimG, fimH, fimI, fimR2, fis, flxA, fumB, gadA, gadB, gadC, gadX, glcC, glnA, glnG, glnL, glnQ, glnU, glnV, glnW, glnX, glnZ, glpA, glpB, glpC, glpQ, glpT, gltT, gltU, gltV, gltW, gltX, glyT, glyU, grcA, guaA, guaB, gyrA, gyrB, hisR, hlyE, hns, hupA, hupB, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF, ileT, ileU, ileV, infB, katE, leuP, leuQ, leuT, leuV, leuW, leuX, lpd, lysT, lysV, lysW, malE, malF, malG, malH, marA, marB, marR, mazE, mazF, mazG, metT, metU, metY, mglA, mglC, msrA, mtlA, mtlD, mtlR, nanA, nanE, nanK, nanQ, nanT, narG, narH, narI, narJ, narK, narS, ndh, nirB, nirC, nirD, nrdA, nrdB, nrfA, nrfB, nrfC, nrfD, nrfE, nrfF, nrfG, nuoA, nuoB, nuoC, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN, nusA, ogt, osmE, osmY, pdxA, pflB, pheU, pheV, pnp, proK, proL, proM, proP, ptsG, pyrD, queA, rbfA, recF, rimP, rnpB, rplM, rpsI, rpsO, rrfA, rrfB, rrfC, rrfD, rrfE, rrfF, rrfG, rrfH, rrlA, rrlB, rrlC, rrlD, rrlE, rrlG, rrlH, rrsA, rrsB, rrsC, rrsD, rrsE, rrsG, rrsH, rsmA, serT, serX, sra, ssrS, thrT, thrU, thrV, thrW, tolB, topA, tpr, trg, trmA, truB, tufB, tyrT, tyrU, tyrV, valT, valU, valX, valY, xylF, xylG, xylH, xylR, yeaR, yfaE, yjcH, yoaG, yodD
FlhDC	93	89	4	Dual	aceB, adhE, ccmA, ccmB, ccmC, ccmD, ccmE, ccmF, ccmG, ccmH, clsC, csgC, epd, flgA, flgB, flgC, flgD, flgE, flgF, flgG, flgH, flgI, flgJ, flgM, flgN, flhA, flhB, flhE, fliA, fliD, fliE, fliF, fliG, fliH, fliI, fliJ, fliK, fliL, fliM, fliN, fliO, fliP, fliQ, fliR, fliS, fliT, fliZ, fruB, glpA, glpB, glpC, gltI, gltJ, gltK, gltL, hydN, hypF, iclR, mdh, mglA, mglB, mglC, napA, napB, napC, napD, napF, napG, napH, nfrB, nrfA, nrfB, nrfC, nrfD, nrfE, nrfF, nrfG, pdeH, pfkA, ppdA, ppdB, ppdC, ptsH, recC, setB, sroC, tcyJ, ycgR, yecR, ygbK, ygdB, ymdA, ymdB
FliX	12	0	12	Represor	fliC, rplB, rplC, rplD, rplP, rplV, rplW, rpmC, rpsC, rpsJ, rpsQ, rpsS
FliZ	22	0	22	Represor	csgA, csgB, csgC, csgD, csgE, csgF, csgG, flhC, flhD, gadB, gadC, gadE, gadF, hdeA, hdeB, mdtE, mdtF, mlrA, osmY, pdeR, yhiD, yjbJ
FnrS	20	0	20	Represor	azuC, azuR, cydC, cydD, folE, folX, glpD, gpmA, iscR, maeA, marA, metE, sodA, sodB, yebY, yebZ, yeiB, yfcH, yieP, yobA
FrlR	5	0	5	Represor	frlA, frlB, frlC, frlD, frlR
FrmR	3	0	3	Represor	frmA, frmB, frmR
FucR	7	7	0	Activador	fucA, fucI, fucK, fucO, fucP, fucR, fucU
Fur	280	88	203	Dual	acnA, actP, adhP, adk, amtB, ansB, araB, araF, argF, argG, argR, aspC, b0725, bfd, bfr, bglJ, bssR, cadC, cirA, cusC, cyoA, cyoB, cyoC, cyoD, cyoE, dapB, dinB, dkgA, dmsA, dmsB, dmsC, dppB, dppC, dppD, dppF, eamA, efeB, efeO, efeU, entA, entB, entC, entD, entE, entF, entH, entS, erpA, esrE, exbB, exbD, fecA, fecB, fecC, fecD, fecE, fecI, fecR, feoA, feoB, feoC, fepA, fepB, fepC, fepD, fepE, fepG, fes, fhuA, fhuB, fhuC, fhuD, fhuE, fhuF, fiu, flgL, flhC, flhD, fnr, ftnA, ftnB, fumB, fumC, fur, garK, garL, garP, garR, gdhA, glnD, glnG, glnK, glnL, glpF, glpK, gltB, gltD, gltF, gnd, gndA, gpmA, gpr, grcA, grxB, gspC, gspD, gspE, gspF, gspG, gspH, gspI, gspJ, gspK, gspL, gspM, gspO, hcaR, hmp, hscA, hybO, katE, katG, leuD, lpd, lysP, maeB, manX, manY, manZ, map, mdh, mdtL, metH, metJ, mglB, mntH, mntP, mntS, moaA, mocA, mqo, nac, narQ, narU, ndh, nfeF, nfeR, nohA, nrdE, nrdF, nrdH, nrdI, nth, ompF, ompW, oppA, oppB, oppC, oppD, oppF, ortT, paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK, pdeF, pepE, phoH, pqqU, pstB, punC, purL, purR, pyrC, qorA, rcnA, rcnB, recN, rimK, rimO, rmf, rmuC, rnpB, rpoS, rsd, rsxA, rsxB, rsxC, rsxD, rsxE, rsxG, ryhB, sdhA, sdhB, sdhC, sdhD, sdhX, sdiA, selO, serS, sodA, soxR, soxS, sseB, stfQ, sucA, sucB, sucC, sucD, sufA, sufB, sufC, sufD, sufE, sufS, sulA, tauA, tauB, tauC, tcyN, tfaQ, tisB, tonB, tqsA, tsx, udp, ugpA, ugpB, ugpE, uxaB, uxaC, uxuA, uxuB, waaL, xynR, ybaN, ybdZ, ybiU, ybiX, ycgR, yciI, ydcF, yddA, yddB, ydeN, ydiE, yejG, yfcV, ygaC, yghF, yghW, yhcC, yhhY, yhjE, yihN, yihX, yjbJ, yjcH, yjiR, yjiT, yjjZ, yncE, ynfD, yobD, yoeA, yojI, yqeB, yqeC, yqhD, yrbL, zapB, zinT, zwf
GadE	34	34	0	Activador	cyoA, cyoB, cyoC, cyoD, cyoE, fabZ, fliC, fliX, gadB, gadC, gadE, gadF, gadW, gadX, gltB, gltD, gltF, gnd, gndA, hdeA, hdeB, hdeD, lpxA, lpxD, lrp, mdtE, mdtF, purA, rcsA, skp, yhiD, yhiM, yjbQ, yjbR
GadRcs	9	9	0	Activador	adiC, aslB, cadA, cadB, dctR, gadA, gadX, slp, yhiM
GadW	15	11	11	Dual	dctR, gadA, gadB, gadC, gadE, gadF, gadW, gadX, gadY, hdeA, hdeB, mdtE, mdtF, slp, yhiD
GadX	34	27	11	Dual	amtB, asnB, btuB, cadA, cadB, dctR, dtpA, gadA, gadB, gadC, gadE, gadF, gadW, gadX, gadY, glnK, glsA, hdeA, hdeB, hdeD, hns, lon, mdtE, mdtF, murI, rpoS, slp, speG, uspE, ybaT, ydeM, ydeN, yhiD, ynfB
GadY	2	2	0	Activador	gadW, gadX
GalR	10	4	10	Dual	galE, galK, galM, galP, galR, galS, galT, mglA, mglB, mglC
GalS	10	4	10	Dual	galE, galK, galM, galP, galR, galS, galT, mglA, mglB, mglC
GatR	6	0	6	Represor	gatA, gatB, gatC, gatD, gatY, gatZ
GcvA	5	4	4	Dual	gcvA, gcvB, gcvH, gcvP, gcvT
GcvB	60	2	58	Dual	acs, aroC, aroP, asd, asnA, asnB, csgD, csgE, csgF, csgG, cstA, cycA, dppA, dppB, dppC, dppD, dppF, gdhA, gltP, hisQ, icd, ilvB, ilvD, ilvL, ilvM, inaA, ivbL, kgtP, lrp, map, mltC, nlpA, oppA, oppB, oppC, oppD, oppF, oxyR, panD, phoP, phoQ, purU, rbn, rbsA, rbsB, rbsC, rbsD, rbsK, rbsR, rbsZ, sstT, tcyJ, trpA, trpB, trpC, trpD, trpE, trpL, ydeE, ysgA
GlaR	120	44	76	Dual	alaE, apt, aroB, aroP, baeS, bdcA, bdcR, bssS, cadC, casA, chaA, chaB, chaC, csgI, cysN, cysS, dctR, dgcN, dinQ, elfC, fhuE, gabD, gabP, gabT, gadW, gadX, gcvA, gdhA, glaH, gltF, hinT, htrE, hxpA, idnD, idnK, inaA, kdgT, kdsA, ldcC, lhgD, lsrG, mglA, mrdA, murD, nlpA, orn, oxc, pdeG, pdhR, pdxA, phoH, pliG, ppiB, ppx, priC, prmC, rfbB, rhsD, rpiB, rpsF, rsgA, rssB, safA, sgcC, smg, tam, tar, tehA, ttdA, ttdR, yadN, ybaN, ycbU, ycbV, yccU, ycgJ, ycgV, ycgY, ychQ, yciU, ycjP, ydcK, ydeO, ydfI, ydfK, ydhS, yeaE, yehD, yehE, yehS, yfbN, yfbO, yfbU, yfcO, yfcV, yfdC, yfdV, yfiL, yfiR, yfjD, ygiV, ygiW, ygjI, yhcD, yidB, yigG, yihD, yihM, yjdP, yjfY, yjjP, yjjQ, ynaE, ynjH, yobD, yodB, ypdC, ypjA, yqhC, zraR
GlcC	7	6	1	Dual	glcA, glcB, glcC, glcD, glcE, glcF, glcG
GlmZ	2	2	0	Activador	glmS, glmU
GlnZ	2	0	2	Represor	glnP, sucA
GlpR	9	0	9	Represor	glpA, glpB, glpC, glpD, glpF, glpK, glpQ, glpT, glpX
GlrR	6	6	0	Activador	glmY, rpoE, rseA, rseB, rseC, rseD
GntR	12	0	12	Represor	eda, edd, gntK, gntT, gntU, idnD, idnK, idnO, idnR, idnT, nfuA, yhgH
GutM	7	7	0	Activador	gutM, gutQ, srlA, srlB, srlD, srlE, srlR
H-+NS	1	1	1	Dual	hlyE
H-NS	239	49	190	Dual	acrE, acrF, adeD, adiA, adiC, adiY, alaU, alaV, appY, ascF, ascG, asr, bglB, bglF, bglG, bglJ, bluF, bolA, cadA, cadB, cadC, caiA, caiB, caiC, caiD, caiE, caiF, caiT, cas1, cas2, casA, casB, casC, casD, casE, cbpA, cdgI, chiA, cmoM, csgD, csgE, csgF, csgG, csiE, cspA, cspD, cycA, cydA, cydB, cysA, cysG, cysM, cysP, cysU, cysW, dctR, ddlA, degP, dgcJ, dgcT, dgcZ, dosC, dps, elfA, entF, evgA, evgL, evgS, fau, fepE, fes, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, fimR2, flhC, flhD, fliA, fliC, fliX, fliZ, ftnA, fucA, gabD, gabP, gabT, gadA, gadB, gadC, gadE, gadF, gadW, gadX, galE, galK, galM, galT, garK, garL, garP, garR, glaH, gltT, gltU, gltW, glvC, gspA, gspB, gspC, gspD, gspE, gspF, gspG, gspH, gspI, gspJ, gspK, gspL, gspM, gspO, gutM, gutQ, hchA, hdeA, hdeB, hdeD, hdfR, hisJ, hisM, hisP, hisQ, hns, hprR, ileU, ileV, ilvH, ilvI, iraP, lacA, lacY, lacZ, leuO, lhgD, lrp, malE, malF, malG, malH, mazE, mazF, mdtE, mdtF, mdtI, mdtJ, mdtU, micF, mukB, mukE, mukF, nhaA, nhaR, nirB, nirC, nirD, nrdA, nrdB, nrdD, nrdG, osmC, oxc, pagP, pdeC, pdeF, pdeG, pdeI, pdeL, proV, proW, proX, rcsA, rcsB, rcsD, relA, rflP, rnpB, rrfB, rrfC, rrfD, rrfF, rrfG, rrfH, rrlB, rrlC, rrlD, rrlG, rrlH, rrsB, rrsC, rrsD, rrsG, rrsH, sfmA, slp, srlA, srlB, srlD, srlE, srlR, ssrS, stpA, tcyJ, thrV, ttdR, yadC, ybdZ, ybgD, yciE, yciF, yciG, ydcC, ydeO, ydeP, yehA, yehB, yehC, yehD, yfaE, yfcV, yhiD, yhiM, yjjP, yjjQ, yraH
HU	9	1	8	Dual	galE, galK, galM, galT, micF, mtr, pgm, seqA, tyrP
HcaR	7	5	2	Dual	hcaB, hcaC, hcaD, hcaE, hcaF, hcaR, iroK
HdfR	6	4	2	Dual	flhC, flhD, gltB, gltD, gltF, maoP
Hfq	6	1	5	Dual	cirA, hpf, manX, mutS, oppA, ptsN
HicB	2	0	2	Represor	hicA, hicB
HigA	2	0	2	Represor	higA, higB
HigBA	2	0	2	Represor	higA, higB
HipAB	5	0	5	Represor	hipA, hipB, mazE, mazF, relA
HipB	8	0	8	Represor	eutA, eutH, fadH, hipA, hipB, mazE, mazF, relA
HprR	14	9	5	Dual	cusA, cusB, cusC, cusF, cusR, cusS, cyoA, cyoB, cyoC, cyoD, cyoE, hiuH, msrP, msrQ
HyfR	12	12	0	Activador	focB, hyfA, hyfB, hyfC, hyfD, hyfE, hyfF, hyfG, hyfH, hyfI, hyfJ, hyfR
HypT	13	8	5	Dual	cydA, cydB, cysH, fecA, fecB, fecC, fecD, fecE, metB, metI, metL, metN, metQ
IHF	235	170	93	Dual	aceA, aceB, aceK, acs, actP, adiA, amiA, atoA, atoB, atoD, atoE, carA, carB, csgD, csgE, csgF, csgG, csrB, cycA, cysG, cysH, cysI, cysJ, dcuD, dmsA, dmsB, dmsC, dppA, dppB, dppC, dppD, dppF, dps, dusB, envZ, fhlA, fimA, fimB, fimC, fimD, fimF, fimG, fimH, fimI, fimR2, fis, flhC, flhD, fliA, fliZ, fnr, focA, folA, gcd, glcA, glcB, glcD, glcE, glcF, glcG, glmY, glnH, glnP, glnQ, glpQ, glpT, gltA, gltB, gltD, gltF, hemA, hemF, hipA, hipB, hpt, htrE, hycA, hycB, hycC, hycD, hycE, hycF, hycG, hycH, hycI, hypA, hypB, hypC, hypD, hypE, ibpB, icd, ihfA, ihfB, ilvA, ilvD, ilvE, ilvG, ilvL, ilvM, ilvX, lyxK, micF, mtr, narG, narH, narI, narJ, narK, narS, ndh, nirB, nirC, nirD, nmpC, norV, norW, nrfA, nrfB, nrfC, nrfD, nrfE, nrfF, nrfG, nuoA, nuoB, nuoC, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN, ompC, ompF, ompR, osmE, osmY, paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK, paaZ, pflB, phoU, plaR, prfA, prmC, proV, proW, proX, pspA, pspB, pspC, pspD, pspE, pspG, pspH, pstA, pstB, pstC, pstS, rpoE, rpoH, rseA, rseB, rseC, rseD, rtcA, rtcB, sdhX, sgbE, sgbH, sgbU, sodA, sodB, sra, ssuA, ssuB, ssuC, ssuD, ssuE, sucA, sucB, sucC, sucD, sufA, sufB, sufC, sufD, sufE, sufS, tcyJ, tdcA, tdcB, tdcC, tdcD, tdcE, tdcF, tdcG, tyrP, ubiA, ubiC, ulaA, ulaB, ulaC, ulaD, ulaE, ulaF, ulaG, uspA, uspB, yadV, yeiL, yiaK, yiaL, yiaM, yiaN, yiaO, yjbE, yjbF, yjbG, yjbH, yjcH
IclR	4	0	4	Represor	aceA, aceB, aceK, iclR
IdnR	7	5	2	Dual	gntK, gntU, idnD, idnK, idnO, idnR, idnT
IlvY	2	1	1	Dual	ilvC, ilvY
IscR	33	11	22	Dual	erpA, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF, iscA, iscR, iscS, iscU, napA, napB, napC, napD, napF, napG, napH, nfuA, nrdE, nrdF, nrdH, nrdI, rnlA, rnlB, selO, sufA, sufB, sufC, sufD, sufE, sufS, torT
IstR-1	1	0	1	Represor	tisB
KdgR	2	0	2	Represor	eda, edd
KdpE	9	6	3	Dual	adeP, kdpA, kdpB, kdpC, kdpF, rmf, rsd, uxaA, uxaC
LacI	3	0	3	Represor	lacA, lacY, lacZ
LeuO	24	18	7	Dual	bglB, bglF, bglG, bglJ, cadC, cas1, cas2, casA, casB, casC, casD, casE, dsrA, gltF, leuA, leuB, leuC, leuD, leuL, leuO, ybeQ, yghR, yghS, yjjQ
LexA	63	0	63	Represor	cho, ddlB, dinB, dinD, dinF, dinG, dinI, dinJ, dinQ, dnaG, ftsA, ftsI, ftsK, ftsL, ftsO, ftsQ, ftsW, ftsZ, hokE, insK, lexA, lpxC, mraY, murC, murD, murE, murF, murG, phr, polB, ptrA, recA, recB, recD, recN, recQ, recX, rpoD, rpsU, ruvA, ruvB, sbmC, ssb, sulA, symE, tisB, umuC, umuD, uvrA, uvrB, uvrC, uvrD, uvrY, yafN, yafO, yafP, yafQ, ybfE, ybiB, ydjM, yebG, yehF, yoaA
LldR	11	11	3	Dual	fadE, fadL, gadW, gadY, glcD, lldD, lldP, lldR, lpxP, yfdY, yhcO
LrhA	5	3	2	Dual	fimE, flhC, flhD, leuO, lrhA
Lrp	368	188	238	Dual	aceB, acrZ, adhE, aer, aidB, alaA, alaE, alaS, alaT, alaU, alaV, amiC, ansB, aphA, arcB, argA, argO, argR, argS, argT, aroA, aroG, artI, artP, asnA, asnB, aspA, aspC, aspS, astC, atpA, atpH, avtA, bipP, borD, brnQ, bssS, btuE, cadA, cadB, can, cbl, chbG, clpP, clpS, cpoB, creA, csiE, cycA, cydC, cysB, dadA, dadX, deaD, dedA, deoB, dgcJ, dgcM, dgcQ, dgcZ, dhaK, dppA, dtpA, dtpB, eco, emrD, eno, eptB, exbB, fadI, fadL, fau, fimA, fimC, fimD, fimE, fimF, fimG, fimH, fimI, fimR2, fliA, frdA, frdB, ftsQ, fumA, fxsA, gabD, gabP, gabT, gadB, gadW, gadY, gcvH, gcvP, gcvT, gdhA, glaH, glcA, glgC, glnA, glnH, glnK, glnL, glnQ, gltB, gltD, gltF, gltP, gltT, gltU, gltV, gltW, gpt, groL, groS, hdeA, hdeB, hlyE, hpf, hspQ, htrE, ibpA, ibpB, ileT, ileU, ileV, ilvA, ilvD, ilvE, ilvG, ilvH, ilvI, ilvL, ilvM, ilvX, insC5, insH3, intZ, iraD, iraP, katE, kbl, ldhA, leuA, leuE, leuL, leuO, lhgD, lipA, livF, livG, livH, livJ, livK, livM, lolA, lolC, lpxL, lrhA, lrp, lysP, lysU, malT, manA, menA, metH, metK, metT, micF, mnmA, modA, mqo, msbA, mscK, mscS, mtr, mutY, nac, napF, nuoA, nusB, ompC, ompT, oppA, oppB, oppC, oppD, oppF, osmC, osmY, pabB, pal, panZ, patA, pepD, pgl, phoA, phoH, pncB, pntA, polA, potF, ppk, ppsA, ppx, prlF, proP, pspG, ptsN, purM, purT, pyrI, qseB, radD, rdcA, relA, rhtB, ribE, ridA, rlmE, rnr, rpiA, rpiB, rplF, rplR, rpoN, rpsH, rrfA, rrfB, rrfC, rrfD, rrfE, rrfF, rrfG, rrfH, rrlA, rrlB, rrlC, rrlD, rrlE, rrlG, rrlH, rrsA, rrsB, rrsC, rrsD, rrsE, rrsG, rrsH, rsd, rseA, sad, sdaA, sdaC, serA, serB, serC, serS, slyA, slyX, soxS, sroH, ssrS, sstT, sthA, stpA, sulA, tdh, thiC, thrL, thrV, topA, treA, trhO, trxB, tsuA, tyrP, tyrR, ubiA, upp, uspE, wecB, yaaX, yabQ, yacL, yaeQ, yagU, yaiY, ybdF, ybdG, ybdL, ybeX, ybgA, ybgS, ybhQ, ybiI, ybiJ, ybiO, ybiT, ybjN, ybjS, ybjX, ycaM, yceB, ycfJ, ycgB, ychE, yciN, yciT, yciZ, ydcK, ydcL, ydeE, ydeN, ydgH, ydhQ, yeaE, yeaG, yebF, yehL, yeiL, yfaP, yfcC, yfcZ, yfiB, ygiV, ygiW, yhbY, yhcN, yhdN, yhdV, yhdW, yhhA, yhhW, yhiD, yhiM, yhjE, yhjR, yiaG, yibL, yibT, yicH, yiiM, yjbJ, yjbQ, yjbR, yjeH, yjeM, yjfP, yjiC, yjiL, ykgE, ynjH, yoaH, yodC, yoeG, yojI, yqeF, yqeG, ytfB, ytfJ, ytfK, ytjB, yzgL, zipA, zitB, zntR
LsrR	9	0	9	Represor	lsrA, lsrB, lsrC, lsrD, lsrF, lsrG, lsrK, lsrR, tam
LysR	2	1	1	Dual	lysA, lysR
MalH	1	0	1	Represor	ompC
MalI	3	0	3	Represor	malI, malX, malY
MalT	11	11	0	Activador	lamB, malE, malF, malG, malH, malK, malM, malP, malQ, malS, malZ
MarA	60	49	11	Dual	acnA, acrA, acrB, acrZ, aldA, ariR, dapD, dctR, decR, fpr, fumC, glnD, hdeA, hdeB, inaA, lacA, lacY, lacZ, lpxC, lpxL, map, marA, marB, marR, mdaB, micF, mlaB, mlaC, mlaD, mlaE, mlaF, nfo, nfsA, nfsB, pbpG, poxB, pqiA, pqiB, pqiC, purA, putA, rimK, rob, slp, sodA, tolC, waaY, waaZ, xseA, ybjC, ybjN, ycgZ, ygiB, ygiC, yhbW, yhiD, ymgA, ymgC, yncE, zwf
MarR	3	0	3	Represor	marA, marB, marR
MatA	9	2	7	Dual	ecpA, flhC, flhD, fliA, fliC, fliX, fliZ, matA, tcyJ
MazE	3	0	3	Represor	mazE, mazF, mazG
MazEF	3	0	3	Represor	mazE, mazF, mazG
McaS	6	2	4	Dual	csgD, csgE, csgF, csgG, flhC, flhD
McbR	6	5	1	Dual	mcbA, rmf, rsd, yciE, yciF, yciG
MelR	3	3	3	Dual	melA, melB, melR
MetJ	15	0	15	Represor	ahpC, ahpF, folE, metA, metB, metC, metE, metF, metI, metK, metL, metN, metQ, metR, yeiB
MetR	5	4	2	Dual	glyA, hmp, metE, metH, metR
MgrR	4	0	4	Represor	eptB, pitA, soxS, ygdQ
MhpR	6	6	0	Activador	mhpA, mhpB, mhpC, mhpD, mhpE, mhpF
MicA	18	0	18	Represor	cpoB, ecnB, fimB, gloA, lamB, ldtC, lpxT, ompA, ompW, ompX, pal, phoP, phoQ, tolB, tsx, yfeK, ygiM, yliM
MicC	1	0	1	Represor	ompC
MicF	7	1	6	Dual	cpxA, cpxR, lrp, ompF, oppA, phoE, tcyJ
MicL	1	0	1	Represor	lpp
Mlc	10	0	10	Represor	bidA, crr, malT, manX, manY, manZ, mlc, ptsG, ptsH, ptsI
MlrA	10	10	0	Activador	cadC, csgD, csgE, csgF, csgG, ibaG, obgE, rplU, rpmA, yhbE
MngR	3	0	3	Represor	mngA, mngB, mngR
MntR	5	1	4	Dual	dps, mntH, mntP, mntS, rybA
ModE	46	31	15	Dual	ccmA, ccmB, ccmC, ccmD, ccmE, ccmF, ccmG, ccmH, deoA, deoB, deoC, deoD, dmsA, dmsB, dmsC, hycA, hycB, hycC, hycD, hycE, hycF, hycG, hycH, hycI, moaA, moaB, moaC, moaD, moaE, modA, modB, modC, napA, napB, napC, napD, napF, napG, napH, narL, narX, oppA, oppB, oppC, oppD, oppF
MotR	12	12	0	Activador	fliC, rplB, rplC, rplD, rplP, rplV, rplW, rpmC, rpsC, rpsJ, rpsQ, rpsS
MprA	6	0	6	Represor	acrA, acrB, emrA, emrB, mprA, nmpC
MqsA	13	0	13	Represor	csgD, csgE, csgF, csgG, cspD, lfgA, lfgB, mqsA, mqsR, rpoS, yfjZ, ypjF, ypjJ
MraZ	18	0	18	Represor	ddlB, ftsA, ftsI, ftsL, ftsO, ftsQ, ftsW, ftsZ, lpxC, mioC, mraY, mraZ, murC, murD, murE, murF, murG, rsmH
MurR	3	1	3	Dual	murP, murQ, murR
